512 30
66 236 105 115 81
211 116 236 41 205
64 2 242 251 227
54 138 194 84 248
12 247 231 141 118
84 194 99 51 159
107 144 102 50 13
185 102 88 163 90
238 255 5 23 88
127 215 212 171 178
13 223 155 180 84
7 121 130 116 65
142 66 220 135 112
222 77 161 65 225
22 70 62 1 126
44 140 100 200 34
24 494 78 47 211
370 204 216 217 218
26 446 183 156 98
132 472 98 56 123
108 276 243 145 71
284 132 34 61 28
444 154 5 7 98
14 242 23 24 68
476 510 69 66 215
422 232 57 88 33
168 388 44 73 234
214 228 119 233 88
128 4 77 85 34
168 388 99 32 197
